author
Татьяна Мужицкая
Даниэль Канеман
Джен Синсеро
Игорь Рызов
Марк Мэнсон
Дейл Карнеги
Сергей Поварнин
Роберт Чалдини
Ранган Чаттерджи
Таэ Юн Ким
Ёсия Хасэгава
Джим Лоулесс
Хэл Элрод
Джо Диспенза
Александр Палиенко
Максим Ильяхов
Теперь всё стало ясно!
Кейт Феррацци
Непряхин Никита
Марина Мелия
Дмитрий Хара
Антон Могучий
Дас Сатья дас
Даррен Харди
Габриэль Вайнберг
Вания Маркович
Станислав Логунов
Джо Наварро
Рами Блект
Талеб Нассим Николас
Джуди Картер
Гэри Джон Бишоп
Уолтер Мёрч
Хелен Рисс
Том Д’Ансембур
Кевин Леман
Хайди Прибе
Камал Равикант
Римма Карамова
Томас Дж. Стэнли
Наталья Титова
Джим Квик
Райан Холидей
Карен Прайор
Виктория Ильина
Майкл Уити
Рюта Кавашима
Фостер Томас
Тимур Зарудный
Арт Гаспаров
Энни Грэйс
Михаил Павлов
Эрика Лейн
Спенст Доминик
Эмили Фриман
Ветас Разносторонний
Дэвид Эпштейн
Екатерина Чубукина
Пельтек Евгения
Анна Марчук
Анатолий Некрасов
Трейси МакКаббин
Анна Кирьянова
Клаус Бернхардт
Екатерина Плотко
Лаура Малина Сейлер
Наполеон Хилл
Деймон Захариадис
Туту Мпхо
Елена Правдина
ван Дейк Шери
Маршалл Голдсмит
Юрий Окунев
Евгения Лисёнкова
Джон В. Петрочелли
Лилия Нилова
Карл Густав Юнг
Мария Фикссон
Светлана Кузина
Моника Суини
Сэм Хорн
Кравцов Александр 
Дерек Дрейпер
Касия Везовски
Workbook. Рабочие тетради для прокачки новой жизни
Светлана Комарова
Марк Бертолини
Кармин Галло
Саморазвитие и личностный рост
Тим Коллинс
Дарья Кабицкая
Фабьен Оликар
Елена Борщёва
Травкина Настя
Сосновцева Елена
Сэнди Манн
Ольга Перцева
Марина Захаренко
Олеся Галькевич
Катерина Ленгольд
Майорова Марина
Диана Скитова
Шонда Раймс
Юни Хонг
Дэвид Уолтон
Стив Симс
Анастасия Залога
Татьяна Кузнецова
Дуглас Стоун
Татьяна Шахматова
Дональд Миллер
Александр Свияш
Анастасия Мизитова
Курро Каньете
Аня Гучи
Саидмурод Давлатов
Реклау Марк
Юлия Пирумова
Думчев Артур
Дэйв Эспри
Эмили Эсфахани Смит
Ричард Фентон
МИФ. Личное развитие
Алекс Байхоу
Любовь Левина
Ринпоче Пакчок
Мирзакарим Норбеков
Майкл Хайятт
Онур Карапинар
Керре Наталья
Моженков Владимир 
Джоко Виллинк
Зонке Аренс
Екатерина Сляднева
Тревор Моавад
Брайан Трейси
Найт Николас
Линч Джеральд
Ребекка Спунер
Катя Портнягина
Лора Вандеркам
Дэвид М.Р. Кови
Джеймс Виктор
Карен Бэрроу
Фаулер Сьюзен
Макги П.
Энтони Р.
Лиз Мюррей
Франсеск Миральес
Марк Гоулстон
Инна Каулина
Ричард Боллс
Лиля Правда
Лиза (L. A.) Адаменко
Джон Гордон
Андрей Сокуров
Дина Гумерова
Дина Перу
Анастасия Барашкова
Иванова Анастасия 
Энди Эндрюс
Елена Резанова
Веденеева Варвара
Мария Чаадаева (Комиссарова)
Эштон Кевин
Фрэнк Мартела
Гленнон Дойл
Хелен Расселл
Дин Кит Саймонтон
Валя Карнавал
Катрин Барри
Барбара Анджелис
Тата Кальницкая
Лионго Фуму
Ирина Маслова
Эштон Дженнифер
Лидия Фенет
Решма Сауджани
Игорь Манн
Маргарет Рук
Марианна Вулф
Нора Олсен
Кукк Кристофер
Мередит Этвуд
